Date,Open,High,Low,Close,Adj Close,Volume,14dayrsi,21dayrsi,34dayrsi,file_name,name
10/29/2024,25194,25198.75,24986.09961,25106.25,25106.25,4610,52.49808109,38.26054648,46.07898965,SHREECEM.NS.csv,Shree Cements
10/29/2024,1922,1922.699951,1862,1868.75,1868.75,1270435,38.70498907,38.37767662,52.96757858,SUNPHARMA.NS.csv,Sun Pharma
10/29/2024,880.25,882.5,825.7000122,843.7000122,843.7000122,15080847,21.91822983,22.61557211,28.00046804,TATAMOTORS.NS.csv,Tata Motors
10/29/2024,149.8500061,149.9799957,146.5500031,147.3800049,147.3800049,14952644,29.36398389,25.91104963,48.51658549,TATASTEEL.NS.csv,Tata Steel
10/29/2024,4095.850098,4103.5,4060.100098,4087.899902,4087.899902,670723,29.80544045,31.07643597,27.88457039,TCS.NS.csv,Tata Consultancy
10/29/2024,1709,1724.099976,1680.349976,1689.300049,1689.300049,486148,55.11917338,58.81123741,55.92876906,TECHM.NS.csv,Tech Mahindra
10/29/2024,3285.800049,3298,3227,3262.850098,3262.850098,309724,25.50455527,15.75462672,31.16255439,TITAN.NS.csv,Titan
10/29/2024,11074,11136.9502,10917.0498,11017.9502,11017.9502,120800,39.6517202,32.00716574,43.34139677,ULTRACEMCO.NS.csv,Ultra Cement
10/29/2024,531.7999878,538.2000122,524.5,528,528,488515,23.97694115,22.6415102,29.96485116,UPL.NS.csv,United Phosphorous
10/29/2024,470,471.5,458.9500122,463.3500061,463.3500061,2906995,34.72609123,31.11449189,54.64491855,VEDL.NS.csv,Vedanta
10/29/2024,559.7999878,563.2999878,553.25,557.4500122,557.4500122,2834531,63.64107769,55.8901173,57.07274081,WIPRO.NS.csv,Wipro
10/29/2024,20.63999939,20.70000076,20.22999954,20.44000053,20.44000053,44044181,36.49638695,31.02312485,35.09391335,YESBANK.NS.csv,Yes Bank
10/29/2024,120.5899963,121.9800034,116.9800034,118.3899994,118.3899994,5761101,33.55159703,33.79992533,37.44030106,ZEEL.NS.csv,Zee
